TargetName	HUGOSymbol	TargetGroup	AnalyteType	CodeClass	ProbePool	MinCount	MaxCount	MedianCount	GeomeanCount	NumberOfProbesIncluded	NumberOfProbesTotal	GeneID
TOR4A	TOR4A	All Targets	RNA	Endogenous	01	1	131	13	12.11415587	1	1	54863
IGF2	"IGF2,INS-IGF2"	All Targets	RNA	Endogenous	01	1	294	20	18.14916367	1	1	3481
OR10J5	OR10J5	All Targets	RNA	Endogenous	01	1	337	22	19.05482953	1	1	127385
NRIP2	NRIP2	All Targets	RNA	Endogenous	01	1	372	24.5	21.62626724	1	1	83714
PTGS1	PTGS1	All Targets	RNA	Endogenous	01	1	131	12	11.77807664	1	1	5742
CD6	CD6	All Targets	RNA	Endogenous	01	1	297	20	19.79699917	1	1	923
HPSE	HPSE	All Targets	RNA	Endogenous	01	1	278	20	17.93109758	1	1	10855
C1QTNF9	C1QTNF9	All Targets	RNA	Endogenous	01	1	141	12	11.95353277	1	1	338872
YPEL4	YPEL4	All Targets	RNA	Endogenous	01	1	243	27.5	25.83530453	1	1	219539
DOCK10	DOCK10	All Targets	RNA	Endogenous	01	1	232	23.5	20.78213623	1	1	55619
H2BS1	"H2BC12,H2BS1"	All Targets	RNA	Endogenous	01	1	221	24	24.10305865	1	1	54145
RAP1GAP	RAP1GAP	All Targets	RNA	Endogenous	01	1	486	60.5	54.27355282	1	1	5909
FOLR3	FOLR3	All Targets	RNA	Endogenous	01	1	306	20	18.43057627	1	1	2352
NOM1	NOM1	All Targets	RNA	Endogenous	01	1	405	28	25.91588457	1	1	64434
ZSWIM8	ZSWIM8	All Targets	RNA	Endogenous	01	1	285	25	24.51198568	1	1	23053
LXN	LXN	All Targets	RNA	Endogenous	01	1	270	22.5	21.89507742	1	1	56925
DIRAS3	DIRAS3	All Targets	RNA	Endogenous	01	1	251	21	18.26051002	1	1	9077
MLEC	MLEC	All Targets	RNA	Endogenous	01	1	310	26	25.72796873	1	1	9761
CNTN1	CNTN1	All Targets	RNA	Endogenous	01	2	1198	68	65.1629783	1	1	1272
HLA-C	HLA-C	All Targets	RNA	Endogenous	01	1	242	21.5	20.51928409	1	1	3107
KIAA1109	KIAA1109	All Targets	RNA	Endogenous	01	1	291	31	27.62035513	1	1	84162
NUDT1	NUDT1	All Targets	RNA	Endogenous	01	1	256	16	16.08556253	1	1	4521
UCHL5	UCHL5	All Targets	RNA	Endogenous	01	1	319	35	34.85838308	1	1	51377
CCL4L1	CCL4L1	All Targets	RNA	Endogenous	01	1	119	11.5	11.47356208	1	1	388372
ACAA1	ACAA1	All Targets	RNA	Endogenous	01	1	340	35.5	32.51073701	1	1	30
BACH1	BACH1	All Targets	RNA	Endogenous	01	1	234	24	24.18654166	1	1	571
BPNT2	BPNT2	All Targets	RNA	Endogenous	01	1	278	29	28.45178045	1	1	54928
KLHL33	KLHL33	All Targets	RNA	Endogenous	01	1	265	19	16.55727151	1	1	123103
KLF5	KLF5	All Targets	RNA	Endogenous	01	1	299	22	18.9012973	1	1	688
SNAPIN	SNAPIN	All Targets	RNA	Endogenous	01	1	140	17.5	15.97397263	1	1	23557
LMNTD1	LMNTD1	All Targets	RNA	Endogenous	01	1	362	24.5	22.41044364	1	1	160492
TCF3	TCF3	All Targets	RNA	Endogenous	01	1	258	20.5	20.92454243	1	1	6929
TTC5	TTC5	All Targets	RNA	Endogenous	01	1	255	22.5	21.10504716	1	1	91875
AKR1C3	AKR1C3	All Targets	RNA	Endogenous	01	1	150	15	13.81434013	1	1	8644
SIRPB2	SIRPB2	All Targets	RNA	Endogenous	01	1	272	17	16.07152608	1	1	284759
SMIM18	SMIM18	All Targets	RNA	Endogenous	01	1	309	24.5	22.53376291	1	1	100507341
MAPKAPK5	MAPKAPK5	All Targets	RNA	Endogenous	01	1	334	33	30.23696069	1	1	8550
RLBP1	RLBP1	All Targets	RNA	Endogenous	01	1	136	12	12.09202025	1	1	6017
UGT3A1	UGT3A1	All Targets	RNA	Endogenous	01	1	336	22	19.61988201	1	1	133688
AMMECR1L	AMMECR1L	All Targets	RNA	Endogenous	01	1	276	21	20.34168382	1	1	83607
TADA2A	TADA2A	All Targets	RNA	Endogenous	01	1	156	15.5	15.42854398	1	1	6871
HOXA2	HOXA2	All Targets	RNA	Endogenous	01	1	208	16	14.34820957	1	1	3199
GATAD2B	GATAD2B	All Targets	RNA	Endogenous	01	1	321	33	29.79102439	1	1	57459
MYSM1	MYSM1	All Targets	RNA	Endogenous	01	1	265	29	25.19781788	1	1	114803
P2RX2	P2RX2	All Targets	RNA	Endogenous	01	1	320	25	22.07364783	1	1	22953
MXRA7	MXRA7	All Targets	RNA	Endogenous	01	1	343	31.5	32.42501462	1	1	439921
ZMYM5	ZMYM5	All Targets	RNA	Endogenous	01	1	371	29	27.8516924	1	1	9205
AUTS2	AUTS2	All Targets	RNA	Endogenous	01	1	320	26.5	26.59398797	1	1	26053
LPL	LPL	All Targets	RNA	Endogenous	01	1	126	15	12.69475191	1	1	4023
YIF1A	YIF1A	All Targets	RNA	Endogenous	01	1	303	23	21.44249722	1	1	10897
ST20	ST20	All Targets	RNA	Endogenous	01	1	109	11.5	10.33288042	1	1	400410
HDGF	HDGF	All Targets	RNA	Endogenous	01	1	383	34	33.21976836	1	1	3068
HTR1E	HTR1E	All Targets	RNA	Endogenous	01	1	298	22.5	21.19766094	1	1	3354
SF3A2	SF3A2	All Targets	RNA	Endogenous	01	1	218	24	20.59462048	1	1	8175
NEK2	NEK2	All Targets	RNA	Endogenous	01	1	282	20.5	17.62212862	1	1	4751
ZNF281	ZNF281	All Targets	RNA	Endogenous	01	1	263	26.5	25.03989405	1	1	23528
TSC2	TSC2	All Targets	RNA	Endogenous	01	1	340	35.5	33.33777824	1	1	7249
ATAD2	ATAD2	All Targets	RNA	Endogenous	01	1	133	13	13.45775592	1	1	29028
KRTAP13-4	KRTAP13-4	All Targets	RNA	Endogenous	01	1	245	18	15.59839722	1	1	284827
CA6	CA6	All Targets	RNA	Endogenous	01	1	301	19	17.72696087	1	1	765
ALPG	ALPG	All Targets	RNA	Endogenous	01	1	184	15	13.74487752	1	1	251
TTC33	TTC33	All Targets	RNA	Endogenous	01	1	573	53	49.52824955	1	1	23548
ZNF765	ZNF765	All Targets	RNA	Endogenous	01	1	267	21	19.18388301	1	1	91661
PRDX2	PRDX2	All Targets	RNA	Endogenous	01	1	800	61	57.60109939	1	1	7001
FCHO2	FCHO2	All Targets	RNA	Endogenous	01	1	269	24	22.16309111	1	1	115548
GSTA2	GSTA2	All Targets	RNA	Endogenous	01	1	385	26.5	23.70980402	1	1	2939
KCNV2	KCNV2	All Targets	RNA	Endogenous	01	1	264	15	14.32746618	1	1	169522
CARM1	CARM1	All Targets	RNA	Endogenous	01	1	422	42.5	37.54199618	1	1	10498
FAM174B	FAM174B	All Targets	RNA	Endogenous	01	1	451	34	31.30327066	1	1	400451
UGT2A3	UGT2A3	All Targets	RNA	Endogenous	01	1	203	17	15.69938586	1	1	79799
PI4KB	PI4KB	All Targets	RNA	Endogenous	01	1	163	23	21.63736756	1	1	5298
ZDHHC20	ZDHHC20	All Targets	RNA	Endogenous	01	1	317	33.5	30.22272453	1	1	253832
NARS2	NARS2	All Targets	RNA	Endogenous	01	1	313	20	18.62996425	1	1	79731
ALG6	ALG6	All Targets	RNA	Endogenous	01	1	295	21	19.26718297	1	1	29929
PRKCD	PRKCD	All Targets	RNA	Endogenous	01	1	246	19	18.81424993	1	1	5580
DNAH11	DNAH11	All Targets	RNA	Endogenous	01	1	309	21	19.90619241	1	1	8701
TSHR	TSHR	All Targets	RNA	Endogenous	01	1	284	18	16.97091127	1	1	7253
CAPN12	CAPN12	All Targets	RNA	Endogenous	01	1	347	23	21.44174919	1	1	147968
PRKD2	PRKD2	All Targets	RNA	Endogenous	01	1	282	20	18.06419972	1	1	25865
RAB3IL1	RAB3IL1	All Targets	RNA	Endogenous	01	1	277	21	20.08022242	1	1	5866
LAMP2	LAMP2	All Targets	RNA	Endogenous	01	2	530	52	52.14222498	1	1	3920
EPHX3	EPHX3	All Targets	RNA	Endogenous	01	1	305	19	17.33230014	1	1	79852
DUSP16	DUSP16	All Targets	RNA	Endogenous	01	1	314	23	20.40852451	1	1	80824
CORO6	CORO6	All Targets	RNA	Endogenous	01	1	239	22.5	20.62406067	1	1	84940
HDAC8	HDAC8	All Targets	RNA	Endogenous	01	1	311	26	25.54935011	1	1	55869
IFNW1	IFNW1	All Targets	RNA	Endogenous	01	1	313	23	21.02833382	1	1	3467
TUSC2	TUSC2	All Targets	RNA	Endogenous	01	1	534	61	54.7370554	1	1	11334
SLC25A42	SLC25A42	All Targets	RNA	Endogenous	01	1	111	13	11.77059223	1	1	284439
FCRL2	FCRL2	All Targets	RNA	Endogenous	01	1	280	17	15.51624479	1	1	79368
ZDHHC6	ZDHHC6	All Targets	RNA	Endogenous	01	1	365	29	27.23031942	1	1	64429
FAAH2	FAAH2	All Targets	RNA	Endogenous	01	1	230	13	11.96124758	1	1	158584
ZNF404	ZNF404	All Targets	RNA	Endogenous	01	1	431	28.5	24.41354838	1	1	342908
ZNF181	ZNF181	All Targets	RNA	Endogenous	01	1	144	15.5	14.87196406	1	1	339318
SMIM8	SMIM8	All Targets	RNA	Endogenous	01	1	448	29	28.22885079	1	1	57150
GOLGA8A	"GOLGA8A,GOLGA8B"	All Targets	RNA	Endogenous	01	1	170	26	22.05404934	1	1	23015
OR13C4	OR13C4	All Targets	RNA	Endogenous	01	1	355	24.5	20.29521119	1	1	138804
MORC2	MORC2	All Targets	RNA	Endogenous	01	1	300	26	25.19060298	1	1	22880
PPM1M	PPM1M	All Targets	RNA	Endogenous	01	1	335	27	26.29907946	1	1	132160
RPRML	RPRML	All Targets	RNA	Endogenous	01	1	465	36	35.05328397	1	1	388394
PFKFB1	PFKFB1	All Targets	RNA	Endogenous	01	1	345	21	19.34253687	1	1	5207
APLNR	APLNR	All Targets	RNA	Endogenous	01	1	240	20	17.46874032	1	1	187
TOM1	TOM1	All Targets	RNA	Endogenous	01	1	315	33	30.62587291	1	1	10043
SF3A1	SF3A1	All Targets	RNA	Endogenous	01	1	220	25.5	23.66785272	1	1	10291
NR0B2	NR0B2	All Targets	RNA	Endogenous	01	1	285	21	18.10374179	1	1	8431
TRAPPC14	TRAPPC14	All Targets	RNA	Endogenous	01	1	259	22	21.14219641	1	1	55262
HTRA3	HTRA3	All Targets	RNA	Endogenous	01	1	248	19	17.00558859	1	1	94031
VAMP8	VAMP8	All Targets	RNA	Endogenous	01	1	363	30	27.50631234	1	1	8673
SLC39A10	SLC39A10	All Targets	RNA	Endogenous	01	1	242	33	30.38314043	1	1	57181
CLPSL1	CLPSL1	All Targets	RNA	Endogenous	01	1	397	23.5	21.64085995	1	1	340204
RPP14	"RPP14,HTD2"	All Targets	RNA	Endogenous	01	1	328	26	24.30310703	1	1	11102
HSH2D	HSH2D	All Targets	RNA	Endogenous	01	1	238	19	15.70774581	1	1	84941
OR10A4	OR10A4	All Targets	RNA	Endogenous	01	1	475	26	21.65327888	1	1	283297
FGFBP3	FGFBP3	All Targets	RNA	Endogenous	01	1	270	20	18.68796823	1	1	143282
KIAA0319	KIAA0319	All Targets	RNA	Endogenous	01	1	151	16.5	16.04123814	1	1	9856
TEX13A	TEX13A	All Targets	RNA	Endogenous	01	1	131	13	11.63518373	1	1	56157
SGCE	SGCE	All Targets	RNA	Endogenous	01	1	195	21.5	20.20878715	1	1	8910
PSORS1C1	PSORS1C1	All Targets	RNA	Endogenous	01	1	140	13	12.17051054	1	1	170679
SCD5	SCD5	All Targets	RNA	Endogenous	01	2	370	49	48.87892231	1	1	79966
PRR23B	PRR23B	All Targets	RNA	Endogenous	01	1	278	19	18.27828771	1	1	389151
RTKN	RTKN	All Targets	RNA	Endogenous	01	1	319	23.5	22.21673156	1	1	6242
OR6K2	OR6K2	All Targets	RNA	Endogenous	01	1	238	19.5	16.5145699	1	1	81448
EDEM2	"EDEM2,MMP24-AS1-EDEM2"	All Targets	RNA	Endogenous	01	1	255	20	19.47655925	1	1	55741
GREB1	GREB1	All Targets	RNA	Endogenous	01	1	265	18	17.05693397	1	1	9687
PCK2	PCK2	All Targets	RNA	Endogenous	01	1	237	15.5	14.1691181	1	1	5106
SLC8A2	SLC8A2	All Targets	RNA	Endogenous	01	1	693	58	52.31490581	1	1	6543
ZNF157	ZNF157	All Targets	RNA	Endogenous	01	1	335	25	20.75674901	1	1	7712
UBA7	UBA7	All Targets	RNA	Endogenous	01	1	121	12.5	12.43928219	1	1	7318
APOBEC2	APOBEC2	All Targets	RNA	Endogenous	01	1	262	17	14.85292971	1	1	10930
ETF1	ETF1	All Targets	RNA	Endogenous	01	1	326	36	33.67511716	1	1	2107
SHOC2	SHOC2	All Targets	RNA	Endogenous	01	2	322	34	34.57263046	1	1	8036
CHST11	CHST11	All Targets	RNA	Endogenous	01	1	309	24	22.31345851	1	1	50515
CPN1	CPN1	All Targets	RNA	Endogenous	01	1	172	16	14.72844946	1	1	1369
JCHAIN	JCHAIN	All Targets	RNA	Endogenous	01	1	355	22.5	20.55585833	1	1	3512
ZNF771	ZNF771	All Targets	RNA	Endogenous	01	1	249	20	18.18597116	1	1	51333
BRCA1	BRCA1	All Targets	RNA	Endogenous	01	1	308	20	20.39074771	1	1	672
ARG2	ARG2	All Targets	RNA	Endogenous	01	1	354	25	24.84243767	1	1	384
SCGB2B2	SCGB2B2	All Targets	RNA	Endogenous	01	1	244	20	19.55833739	1	1	284402
PRKAR2B	PRKAR2B	All Targets	RNA	Endogenous	01	1	320	36	30.88791526	1	1	5577
C3orf56	C3orf56	All Targets	RNA	Endogenous	01	1	276	19	16.64349995	1	1	285311
BCL6B	BCL6B	All Targets	RNA	Endogenous	01	1	304	21	19.23579801	1	1	255877
C17orf58	C17orf58	All Targets	RNA	Endogenous	01	1	288	25	24.16055315	1	1	284018
NIN	NIN	All Targets	RNA	Endogenous	01	1	339	31	26.71836485	1	1	51199
H2BC18	"H2BP1,H2BC18,H2BP2"	All Targets	RNA	Endogenous	01	1	283	16	16.64427074	1	1	440689
UPK2	UPK2	All Targets	RNA	Endogenous	01	1	263	17.5	16.78060204	1	1	7379
PRKCI	PRKCI	All Targets	RNA	Endogenous	01	1	350	37	36.45717205	1	1	5584
UBL5	UBL5	All Targets	RNA	Endogenous	01	2	478	67	65.5062789	1	1	59286
SYNE4	SYNE4	All Targets	RNA	Endogenous	01	1	208	16	15.85080997	1	1	163183
NPW	NPW	All Targets	RNA	Endogenous	01	1	265	16.5	15.5171902	1	1	283869
HROB	HROB	All Targets	RNA	Endogenous	01	1	135	13.5	13.55183041	1	1	78995
SRL	SRL	All Targets	RNA	Endogenous	01	1	177	15	13.3001956	1	1	6345
TUBB	TUBB	All Targets	RNA	Endogenous	01	1	381	37	36.92718012	1	1	203068
PTPN22	PTPN22	All Targets	RNA	Endogenous	01	1	272	21	19.5214068	1	1	26191
RPL5	RPL5	All Targets	RNA	Endogenous	01	4	860	78.5	86.73639116	1	1	6125
OR5B17	OR5B17	All Targets	RNA	Endogenous	01	1	259	19	15.71719646	1	1	219965
EGLN2	"EGLN2,RAB4B-EGLN2"	All Targets	RNA	Endogenous	01	1	255	32	28.48416691	1	1	112398
KIF19	KIF19	All Targets	RNA	Endogenous	01	1	272	20	17.76251016	1	1	124602
GKAP1	GKAP1	All Targets	RNA	Endogenous	01	1	382	26	26.3657339	1	1	80318
NLRP12	NLRP12	All Targets	RNA	Endogenous	01	1	269	18	16.57070752	1	1	91662
CDK3	"TEN1-CDK3,CDK3"	All Targets	RNA	Endogenous	01	1	297	24	22.85366439	1	1	1018
CCDC137	CCDC137	All Targets	RNA	Endogenous	01	2	838	50	46.12988872	1	1	339230
TCAIM	TCAIM	All Targets	RNA	Endogenous	01	1	263	19	19.1837567	1	1	285343
FZD9	FZD9	All Targets	RNA	Endogenous	01	1	118	10	10.80372763	1	1	8326
SPSB2	SPSB2	All Targets	RNA	Endogenous	01	1	269	19	17.50294053	1	1	84727
ARL2BP	ARL2BP	All Targets	RNA	Endogenous	01	1	315	35.5	34.70559266	1	1	23568
UCP1	UCP1	All Targets	RNA	Endogenous	01	1	333	22	19.62288001	1	1	7350
MOS	MOS	All Targets	RNA	Endogenous	01	1	284	19	17.29017889	1	1	4342
GALC	GALC	All Targets	RNA	Endogenous	01	1	281	27	24.13070757	1	1	2581
ZNF888	"ZNF888,ZNF525"	All Targets	RNA	Endogenous	01	1	142	15.5	15.01372822	1	1	388559
RPS6KA3	RPS6KA3	All Targets	RNA	Endogenous	01	1	343	27	28.15661867	1	1	6197
TMUB1	TMUB1	All Targets	RNA	Endogenous	01	1	297	19.5	18.04891864	1	1	83590
ZNF770	ZNF770	All Targets	RNA	Endogenous	01	1	383	36	33.30275741	1	1	54989
FAM174A	FAM174A	All Targets	RNA	Endogenous	01	1	418	36	34.39870061	1	1	345757
COX4I2	COX4I2	All Targets	RNA	Endogenous	01	1	272	17	15.56772828	1	1	84701
BTG2	BTG2	All Targets	RNA	Endogenous	01	1	1185	22	22.05730926	1	1	7832
KRT17	KRT17	All Targets	RNA	Endogenous	01	1	340	21	19.88494388	1	1	3872
FLAD1	FLAD1	All Targets	RNA	Endogenous	01	1	263	19	16.06152834	1	1	80308
DHX9	DHX9	All Targets	RNA	Endogenous	01	1	328	25.5	24.29422181	1	1	1660
PTAR1	PTAR1	All Targets	RNA	Endogenous	01	1	317	22.5	20.10582896	1	1	375743
CCDC80	CCDC80	All Targets	RNA	Endogenous	01	1	359	21	18.32032259	1	1	151887
OR4C13	OR4C13	All Targets	RNA	Endogenous	01	1	332	22.5	20.62123043	1	1	283092
SIX2	SIX2	All Targets	RNA	Endogenous	01	1	324	19.5	17.19612243	1	1	10736
DNAAF8	DNAAF8	All Targets	RNA	Endogenous	01	1	309	19	17.94309288	1	1	146562
CALM3	CALM3	All Targets	RNA	Endogenous	01	10	2834	250.5	234.7650364	1	1	808
RPS4Y2	RPS4Y2	All Targets	RNA	Endogenous	01	1	130	12	10.87121094	1	1	140032
BCL3	BCL3	All Targets	RNA	Endogenous	01	1	269	19	17.00462121	1	1	602
EXO1	EXO1	All Targets	RNA	Endogenous	01	1	298	21	17.60476766	1	1	9156
CER1	CER1	All Targets	RNA	Endogenous	01	1	183	17	14.60113036	1	1	9350
ZNF513	ZNF513	All Targets	RNA	Endogenous	01	1	239	19	18.13562587	1	1	130557
ACOXL	ACOXL	All Targets	RNA	Endogenous	01	1	280	17	16.11915991	1	1	55289
DLEU7	DLEU7	All Targets	RNA	Endogenous	01	1	190	19	17.68882519	1	1	220107
FMO3	FMO3	All Targets	RNA	Endogenous	01	1	284	18	15.55059815	1	1	2328
SMAD1	SMAD1	All Targets	RNA	Endogenous	01	1	278	26.5	25.12925629	1	1	4086
DNAJC1	DNAJC1	All Targets	RNA	Endogenous	01	1	321	23	23.02993252	1	1	64215
PRSS33	PRSS33	All Targets	RNA	Endogenous	01	1	197	16	14.6582091	1	1	260429
VPS13B	VPS13B	All Targets	RNA	Endogenous	01	1	424	35	33.21790528	1	1	157680
CASKIN1	CASKIN1	All Targets	RNA	Endogenous	01	1	129	16	14.90268442	1	1	57524
KRTAP5-3	KRTAP5-3	All Targets	RNA	Endogenous	01	1	345	21.5	20.13112948	1	1	387266
FAM193B	FAM193B	All Targets	RNA	Endogenous	01	1	290	31	29.88919429	1	1	54540
PSMG1	PSMG1	All Targets	RNA	Endogenous	01	1	326	26	24.08492868	1	1	8624
GLDC	GLDC	All Targets	RNA	Endogenous	01	1	332	22	20.1956212	1	1	2731
CREBBP	CREBBP	All Targets	RNA	Endogenous	01	1	261	28	26.98677851	1	1	1387
ZNF713	ZNF713	All Targets	RNA	Endogenous	01	1	266	19.5	18.1443699	1	1	349075
GLRX2	GLRX2	All Targets	RNA	Endogenous	01	1	182	16	15.98025291	1	1	51022
LRRC4C	LRRC4C	All Targets	RNA	Endogenous	01	1	302	35	30.57742899	1	1	57689
RBM47	RBM47	All Targets	RNA	Endogenous	01	1	245	17.5	16.23232904	1	1	54502
SLC25A48	SLC25A48	All Targets	RNA	Endogenous	01	1	288	18	17.1102704	1	1	153328
KRT1	KRT1	All Targets	RNA	Endogenous	01	1	257	18	16.20279756	1	1	3848
SLC40A1	SLC40A1	All Targets	RNA	Endogenous	01	1	280	18.5	17.33403852	1	1	30061
AGTR1	AGTR1	All Targets	RNA	Endogenous	01	1	474	27	23.76791706	1	1	185
CCNQ	CCNQ	All Targets	RNA	Endogenous	01	1	114	15.5	15.05012002	1	1	92002
CYB561D1	CYB561D1	All Targets	RNA	Endogenous	01	1	319	21.5	22.19008512	1	1	284613
ARMC2	ARMC2	All Targets	RNA	Endogenous	01	1	292	25.5	24.02724811	1	1	84071
TOP3A	TOP3A	All Targets	RNA	Endogenous	01	1	315	26	24.51132098	1	1	7156
EDARADD	EDARADD	All Targets	RNA	Endogenous	01	1	279	20	17.37293758	1	1	128178
XPO6	XPO6	All Targets	RNA	Endogenous	01	1	276	31.5	30.30270948	1	1	23214
RETSAT	RETSAT	All Targets	RNA	Endogenous	01	1	169	18	17.38893104	1	1	54884
PRNP	PRNP	All Targets	RNA	Endogenous	01	6	1500	142.5	132.2561437	1	1	5621
IRX6	IRX6	All Targets	RNA	Endogenous	01	1	95	8	7.828536074	1	1	79190
AK3	AK3	All Targets	RNA	Endogenous	01	1	277	24	22.85862618	1	1	50808
SYT11	SYT11	All Targets	RNA	Endogenous	01	4	1057	116	113.2272579	1	1	23208
ACTR5	ACTR5	All Targets	RNA	Endogenous	01	1	401	27	25.26614198	1	1	79913
UNC13B	UNC13B	All Targets	RNA	Endogenous	01	1	269	21	20.85931961	1	1	10497
IMPG2	IMPG2	All Targets	RNA	Endogenous	01	1	300	20	17.93462809	1	1	50939
POLR3C	POLR3C	All Targets	RNA	Endogenous	01	1	171	17	15.66944147	1	1	10623
PHOSPHO1	PHOSPHO1	All Targets	RNA	Endogenous	01	1	151	13	13.49966938	1	1	162466
PEX13	PEX13	All Targets	RNA	Endogenous	01	1	321	23.5	21.54105161	1	1	5194
MRPL32	MRPL32	All Targets	RNA	Endogenous	01	1	249	25.5	22.9590499	1	1	64983
OBSL1	OBSL1	All Targets	RNA	Endogenous	01	1	301	32	28.87247586	1	1	23363
PCGF5	PCGF5	All Targets	RNA	Endogenous	01	1	328	34	35.14453619	1	1	84333
LMNA	LMNA	All Targets	RNA	Endogenous	01	1	340	21	21.20591818	1	1	4000
ITGB2	ITGB2	All Targets	RNA	Endogenous	01	1	350	22.5	21.72322337	1	1	3689
NFE2L2	NFE2L2	All Targets	RNA	Endogenous	01	1	210	18	18.03312566	1	1	4780
HPGDS	HPGDS	All Targets	RNA	Endogenous	01	1	274	19.5	18.81443923	1	1	27306
MTM1	MTM1	All Targets	RNA	Endogenous	01	1	348	24	22.59272177	1	1	4534
ERCC6L2	ERCC6L2	All Targets	RNA	Endogenous	01	1	337	26	25.71158171	1	1	375748
TMEM174	TMEM174	All Targets	RNA	Endogenous	01	1	260	19	18.9997425	1	1	134288
PMP2	PMP2	All Targets	RNA	Endogenous	01	2	570	52.5	54.86448729	1	1	5375
CCNG1	CCNG1	All Targets	RNA	Endogenous	01	1	371	26.5	25.75561117	1	1	900
UNC13A	UNC13A	All Targets	RNA	Endogenous	01	1	382	42.5	39.77124471	1	1	23025
